[latent10_nodoy] Device: cuda
[latent10_nodoy] K=10, latent_dim=10, beta=1, kl_warmup=0, exclude_doy=True
[latent10_nodoy] 1,883,144 obs, 16 features
[latent10_nodoy] Epoch  67/100 | train=8.8996 (recon=4.4426 kl=4.4570) | val=8.8912 | beta=1.000 | 607s
[latent10_nodoy] Epoch  68/100 | train=8.8981 (recon=4.4392 kl=4.4589) | val=8.8923 | beta=1.000 | 615s
[latent10_nodoy] Epoch  69/100 | train=8.8982 (recon=4.4400 kl=4.4583) | val=8.8886 | beta=1.000 | 624s
[latent10_nodoy] Epoch  70/100 | train=8.8966 (recon=4.4388 kl=4.4577) | val=8.8867 | beta=1.000 | 632s
[latent10_nodoy] Epoch  71/100 | train=8.8963 (recon=4.4369 kl=4.4593) | val=8.8965 | beta=1.000 | 640s
[latent10_nodoy] Epoch  72/100 | train=8.8960 (recon=4.4360 kl=4.4600) | val=8.8864 | beta=1.000 | 648s
[latent10_nodoy] Epoch  73/100 | train=8.8953 (recon=4.4358 kl=4.4595) | val=8.8847 | beta=1.000 | 657s
[latent10_nodoy] Epoch  74/100 | train=8.8944 (recon=4.4329 kl=4.4615) | val=8.8837 | beta=1.000 | 665s
[latent10_nodoy] Epoch  75/100 | train=8.8936 (recon=4.4329 kl=4.4606) | val=8.8851 | beta=1.000 | 673s
[latent10_nodoy] Epoch  76/100 | train=8.8932 (recon=4.4311 kl=4.4620) | val=8.8830 | beta=1.000 | 680s
[latent10_nodoy] Epoch  77/100 | train=8.8929 (recon=4.4294 kl=4.4635) | val=8.8824 | beta=1.000 | 691s
[latent10_nodoy] Epoch  78/100 | train=8.8917 (recon=4.4279 kl=4.4638) | val=8.8847 | beta=1.000 | 698s
[latent10_nodoy] Epoch  79/100 | train=8.8917 (recon=4.4286 kl=4.4630) | val=8.8920 | beta=1.000 | 705s
[latent10_nodoy] Epoch  80/100 | train=8.8896 (recon=4.4249 kl=4.4648) | val=8.8813 | beta=1.000 | 712s
[latent10_nodoy] Epoch  81/100 | train=8.8900 (recon=4.4241 kl=4.4659) | val=8.8824 | beta=1.000 | 719s
[latent10_nodoy] Epoch  82/100 | train=8.8902 (recon=4.4233 kl=4.4669) | val=8.8789 | beta=1.000 | 726s
[latent10_nodoy] Epoch  83/100 | train=8.8893 (recon=4.4248 kl=4.4645) | val=8.8832 | beta=1.000 | 734s
[latent10_nodoy] Epoch  84/100 | train=8.8889 (recon=4.4211 kl=4.4678) | val=8.8759 | beta=1.000 | 743s
[latent10_nodoy] Epoch  85/100 | train=8.8881 (recon=4.4203 kl=4.4678) | val=8.8789 | beta=1.000 | 752s
[latent10_nodoy] Epoch  86/100 | train=8.8884 (recon=4.4194 kl=4.4689) | val=8.8803 | beta=1.000 | 761s
[latent10_nodoy] Epoch  87/100 | train=8.8871 (recon=4.4193 kl=4.4678) | val=8.8796 | beta=1.000 | 771s
[latent10_nodoy] Epoch  88/100 | train=8.8875 (recon=4.4187 kl=4.4688) | val=8.8785 | beta=1.000 | 782s
[latent10_nodoy] Epoch  89/100 | train=8.8876 (recon=4.4174 kl=4.4702) | val=8.8779 | beta=1.000 | 791s
[latent10_nodoy] Epoch  90/100 | train=8.8864 (recon=4.4168 kl=4.4697) | val=8.8776 | beta=1.000 | 799s
[latent10_nodoy] Epoch  91/100 | train=8.8861 (recon=4.4153 kl=4.4708) | val=8.8795 | beta=1.000 | 807s
[latent10_nodoy] Epoch  92/100 | train=8.8853 (recon=4.4148 kl=4.4705) | val=8.8789 | beta=1.000 | 815s
[latent10_nodoy] Epoch  93/100 | train=8.8843 (recon=4.4149 kl=4.4693) | val=8.8768 | beta=1.000 | 823s
[latent10_nodoy] Epoch  94/100 | train=8.8844 (recon=4.4144 kl=4.4700) | val=8.8729 | beta=1.000 | 830s
[latent10_nodoy] Epoch  95/100 | train=8.8849 (recon=4.4130 kl=4.4719) | val=8.8734 | beta=1.000 | 838s
[latent10_nodoy] Epoch  96/100 | train=8.8841 (recon=4.4131 kl=4.4710) | val=8.8768 | beta=1.000 | 846s
[latent10_nodoy] Epoch  97/100 | train=8.8829 (recon=4.4124 kl=4.4705) | val=8.8760 | beta=1.000 | 855s
[latent10_nodoy] Epoch  98/100 | train=8.8838 (recon=4.4097 kl=4.4741) | val=8.8755 | beta=1.000 | 867s
[latent10_nodoy] Epoch  99/100 | train=8.8818 (recon=4.4093 kl=4.4724) | val=8.8751 | beta=1.000 | 877s
[latent10_nodoy] Epoch 100/100 | train=8.8822 (recon=4.4105 kl=4.4718) | val=8.8711 | beta=1.000 | 886s
[latent10_nodoy] Best val loss: 8.8711, time: 885.9s
[latent10_nodoy] DONE: val_loss=8.8711, mean_feat_r2=0.7236, overall_r2=0.7235, active_K=10/10
