timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/27 18:33:36.608, 2, 13 %, 2 %, 606 MiB, 49140 MiB, 50, 84.11 W
2026/03/27 18:33:36.608, 3, 10 %, 1 %, 616 MiB, 49140 MiB, 46, 79.36 W
2026/03/27 18:34:06.608, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 47, 87.17 W
2026/03/27 18:34:06.608, 1, 11 %, 2 %, 608 MiB, 49140 MiB, 50, 81.74 W
2026/03/27 18:34:06.608, 2, 0 %, 0 %, 606 MiB, 49140 MiB, 50, 83.91 W
2026/03/27 18:34:06.608, 3, 18 %, 4 %, 616 MiB, 49140 MiB, 46, 79.19 W
2026/03/27 18:34:36.609, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 47, 84.82 W
2026/03/27 18:34:36.609, 1, 5 %, 1 %, 608 MiB, 49140 MiB, 50, 78.04 W
2026/03/27 18:34:36.610, 2, 0 %, 0 %, 606 MiB, 49140 MiB, 50, 84.57 W
2026/03/27 18:34:36.610, 3, 0 %, 0 %, 616 MiB, 49140 MiB, 46, 77.11 W
2026/03/27 18:35:06.611, 0, 18 %, 4 %, 1863 MiB, 49140 MiB, 47, 89.94 W
2026/03/27 18:35:06.611, 1, 23 %, 4 %, 608 MiB, 49140 MiB, 50, 83.57 W
2026/03/27 18:35:06.611, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 50, 84.68 W
2026/03/27 18:35:06.611, 3, 14 %, 3 %, 616 MiB, 49140 MiB, 46, 77.94 W
2026/03/27 18:35:36.612, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 47, 88.46 W
2026/03/27 18:35:36.612, 1, 14 %, 3 %, 608 MiB, 49140 MiB, 50, 82.04 W
2026/03/27 18:35:36.612, 2, 11 %, 3 %, 606 MiB, 49140 MiB, 50, 84.35 W
2026/03/27 18:35:36.612, 3, 13 %, 2 %, 616 MiB, 49140 MiB, 46, 79.01 W
2026/03/27 18:36:06.613, 0, 2 %, 1 %, 1863 MiB, 49140 MiB, 47, 87.78 W
2026/03/27 18:36:06.613, 1, 11 %, 2 %, 608 MiB, 49140 MiB, 50, 79.34 W
