timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/29 01:08:32.309, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 57, 103.29 W
2026/03/29 01:09:02.310, 0, 73 %, 26 %, 4765 MiB, 49140 MiB, 57, 132.65 W
2026/03/29 01:09:02.310, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 59, 97.52 W
2026/03/29 01:09:02.310, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 63, 111.92 W
2026/03/29 01:09:02.310, 3, 52 %, 23 %, 3510 MiB, 49140 MiB, 57, 122.59 W
2026/03/29 01:09:32.311, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 113.51 W
2026/03/29 01:09:32.311, 1, 94 %, 20 %, 3512 MiB, 49140 MiB, 61, 123.28 W
2026/03/29 01:09:32.311, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 112.04 W
2026/03/29 01:09:32.311, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 103.21 W
2026/03/29 01:10:02.311, 0, 1 %, 0 %, 4765 MiB, 49140 MiB, 57, 113.61 W
2026/03/29 01:10:02.312, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 60, 104.15 W
2026/03/29 01:10:02.312, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 112.11 W
2026/03/29 01:10:02.312, 3, 35 %, 23 %, 3510 MiB, 49140 MiB, 55, 119.95 W
2026/03/29 01:10:32.312, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 120.56 W
2026/03/29 01:10:32.312, 1, 67 %, 34 %, 3512 MiB, 49140 MiB, 61, 116.50 W
2026/03/29 01:10:32.312, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 61, 112.04 W
2026/03/29 01:10:32.312, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 103.46 W
2026/03/29 01:11:02.313, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 59, 113.40 W
2026/03/29 01:11:02.313, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 59, 103.88 W
2026/03/29 01:11:02.313, 2, 56 %, 26 %, 3510 MiB, 49140 MiB, 59, 131.47 W
2026/03/29 01:11:02.313, 3, 42 %, 18 %, 3510 MiB, 49140 MiB, 55, 122.30 W
