site,n_obs,rmse_log,mae_log,r2_log,years,model
113484_47177,728,0.6229700615639848,0.5034949031743485,0.231536795268112,2018-2019,
115553_48392,726,0.509049996258358,0.4015421584391745,0.3364598814712197,2018-2019,
114021_46842,727,0.5188487379845363,0.4132174829890012,0.0532845523807596,2018-2019,
114158_46244,715,0.7623057644866911,0.6217389916864093,0.1147362042531451,2018-2019,
115324_47594,719,0.4996557625977241,0.3901166432986138,0.2319217736838115,2018-2019,
112501_46003,730,0.8608694041093927,0.7029395264464157,-0.1750827443007696,2018-2019,
111092_44658,721,0.8400277316733651,0.6840282274558976,-0.1598535288382061,2018-2019,
112013_46659,730,0.6265130064536427,0.4995841526843999,0.0447089428939693,2018-2019,
111303_47494,727,0.4030361771120436,0.3207224586835265,0.2887866472089392,2018-2019,
111056_45684,710,0.5785391144770123,0.477155779131635,-0.6294889156966774,2018-2019,
114224_47013,697,0.4583599542912885,0.3704861010351322,0.1473550210331882,2018-2019,
105370_45440,727,0.425669105124825,0.324578418917789,0.4297622597311634,2018-2019,
106490_45366,707,0.485692744503127,0.3845237999593126,0.3062776616293524,2018-2019,
114189_48364,726,0.6905183192460349,0.5170616275178037,0.1107683859211562,2018-2019,
111987_46850,711,0.5935452298621485,0.4628470358513643,0.22112517926309,2018-2019,
109455_47049,722,0.5094645883560456,0.4034281440047012,0.1453021766014079,2018-2019,
107862_48318,726,0.4557571357980889,0.351581864589651,0.38424931697109,2018-2019,
104677_47868,704,0.4946883885858504,0.3915845484896728,0.1034588449000619,2018-2019,
108720_47582,222,0.4012009372238391,0.3056468844218392,0.5320319063848027,2018-2019,
113997_48510,221,0.5154369858415904,0.4194967767236862,0.3779707500484026,2018-2019,
111712_46826,147,0.4116162234491549,0.3246702774558823,0.5086633719576305,2018-2019,
113155_47122,223,0.5199870742833888,0.4096540751831477,0.3984419351961462,2018-2019,
114001_45860,236,0.4439228570320657,0.3662221141674052,0.5014971960308676,2018-2019,
115672_47955,218,0.4475209640860016,0.3462424471022087,0.561754274102015,2018-2019,
104476_48487,216,0.4150928426713355,0.3230583228174651,0.4569515890936824,2018-2019,
114270_47773,211,0.4430350417195932,0.3532468883409713,0.5904565533980862,2018-2019,
105103_48308,198,0.4781741921523891,0.372557594606072,0.4100416681783266,2018-2019,
106557_45648,235,0.4596797331259488,0.3857387101430921,0.2595791053627236,2018-2019,
113484_47177,728,0.6504100975781248,0.5283497351665304,0.162348683018966,2018-2019,
115553_48392,726,0.5442636176836821,0.4329544930321724,0.24148370165375743,2018-2019,periodic_rbf
114021_46842,727,0.5020310641990426,0.40223009914314917,0.11366251717150877,2018-2019,periodic_rbf
114158_46244,715,0.7434162524546138,0.6018263599176056,0.1580653209362911,2018-2019,periodic_rbf
115324_47594,719,0.5013697667269317,0.39055079716457375,0.22664315038840988,2018-2019,periodic_rbf
112501_46003,730,0.8119350050507662,0.659079605335505,-0.04528912983583777,2018-2019,periodic_rbf
111092_44658,721,0.8574520279411658,0.7066292413243301,-0.20846914029433794,2018-2019,periodic_rbf
112013_46659,730,0.6299143817161302,0.485442764506578,0.03430812546704731,2018-2019,periodic_rbf
111303_47494,727,0.39113099478572627,0.3086262199360597,0.330182784823705,2018-2019,periodic_rbf
