[latent6_pm25wt] Device: cuda
[latent6_pm25wt] K=10, latent_dim=6, beta=1.0, kl_warmup=0, exclude_doy=True
[latent6_pm25wt] 1,883,144 obs, 16 features
[latent6_pm25wt] Feature weights: [1.634, 2.927, 2.779, 2.597, 2.746, 2.723, 2.961, 1.349, 5.0, 2.413, 2.032, 4.089, 3.325, 1.004, 1.703, 1.537]
[latent6_pm25wt] Epoch  63/100 | train=13.2655 (recon=5.5997 kl=7.6658) | val=13.2590 | beta=1.000 | 447s
[latent6_pm25wt] Epoch  64/100 | train=13.2616 (recon=5.5954 kl=7.6662) | val=13.2569 | beta=1.000 | 454s
[latent6_pm25wt] Epoch  65/100 | train=13.2581 (recon=5.5898 kl=7.6683) | val=13.2560 | beta=1.000 | 461s
[latent6_pm25wt] Epoch  66/100 | train=13.2567 (recon=5.5846 kl=7.6721) | val=13.2487 | beta=1.000 | 469s
[latent6_pm25wt] Epoch  67/100 | train=13.2534 (recon=5.5811 kl=7.6723) | val=13.2378 | beta=1.000 | 476s
[latent6_pm25wt] Epoch  68/100 | train=13.2513 (recon=5.5770 kl=7.6743) | val=13.2386 | beta=1.000 | 483s
[latent6_pm25wt] Epoch  69/100 | train=13.2495 (recon=5.5723 kl=7.6772) | val=13.2320 | beta=1.000 | 490s
[latent6_pm25wt] Epoch  70/100 | train=13.2447 (recon=5.5652 kl=7.6795) | val=13.2400 | beta=1.000 | 497s
[latent6_pm25wt] Epoch  71/100 | train=13.2435 (recon=5.5635 kl=7.6800) | val=13.2233 | beta=1.000 | 504s
[latent6_pm25wt] Epoch  72/100 | train=13.2379 (recon=5.5550 kl=7.6829) | val=13.2360 | beta=1.000 | 511s
[latent6_pm25wt] Epoch  73/100 | train=13.2395 (recon=5.5549 kl=7.6845) | val=13.2338 | beta=1.000 | 518s
[latent6_pm25wt] Epoch  74/100 | train=13.2318 (recon=5.5461 kl=7.6856) | val=13.2229 | beta=1.000 | 525s
[latent6_pm25wt] Epoch  75/100 | train=13.2340 (recon=5.5469 kl=7.6871) | val=13.2180 | beta=1.000 | 532s
