site,state,n_inducing,n_train,n_test,rmse_log,mae_log,r2_log,rmse_orig,mae_orig,r2_orig,train_time,infer_time,ip_time,total_time,stopped_epoch,param_base_scale,param_summer_scale,param_winter_scale,param_seasonal_scale,param_aot_period_days,param_smog_period_days,param_residual_period_days,param_noise
108512_45780,MT,256,1879806,3338,0.6235944596969207,0.4544062616162055,0.16162101488385083,3.8905001334041063,2.6573537559256897,0.2570900199272558,1187.0291137429886,0.021369279362261295,26.715558247175068,1213.7660412695259,50,0.12521150708198547,0.45979028940200806,0.3737383484840393,0.7186687588691711,552.9204378011611,583.365724607681,475.0507949268261,0.2288184016942978
108512_45780,MT,512,1879806,3338,0.6254007945220755,0.4538964078765387,0.15675699960180578,3.8658510967571527,2.64399261502216,0.26647390631327916,1441.8012714879587,0.036268109921365976,11.089318154379725,1452.9268577522598,50,0.14038226008415222,0.5175955295562744,0.3786446154117584,0.6905988454818726,534.7203232859938,574.8027132912326,438.95774487071526,0.2195015549659729
108512_45780,MT,1024,1879806,3338,0.7206629576074727,0.5239284034550802,-0.11969641319436763,4.501489464159141,3.24160130832588,0.005424402124348582,2207.063049397897,0.02911553904414177,17.638970189727843,2224.731135126669,50,0.16099172830581665,0.5400230884552002,0.4393788278102875,0.6834117770195007,529.8162086915963,567.2409732130913,399.20859888655207,0.21016046404838562
108512_45780,MT,2048,1879806,3338,0.6980691175368914,0.505154280837164,-0.05058873131648656,4.292620135257542,3.058687029734365,0.09557982789047748,5209.692623236217,0.062432682141661644,39.63237721379846,5249.387433132157,50,0.17048683762550354,0.557971715927124,0.46972042322158813,0.6765907406806946,519.5530397208681,536.5287278434623,382.42886541434575,0.19953173398971558
108512_45780,MT,4096,1879806,3338,0.7340833576830493,0.5347395589592188,-0.1617873523646245,4.391144915123296,3.2631829961817282,0.053586638437034595,16996.38050063979,0.2068238416686654,70.4480297700502,17067.035354251508,50,0.18232809007167816,0.567110002040863,0.4769632816314697,0.6755111217498779,472.8323642209152,505.5213141117117,383.6982054404098,0.19108326733112335
105103_48308,MT,256,1881310,1834,0.4746470021684142,0.38980078207052565,0.1491137601887611,3.5266370202279096,2.0622668347155906,0.1612699939043345,1221.6260469090194,0.020232093054801226,26.249246950726956,1247.895525952801,50,0.11825310438871384,0.45354294776916504,0.37631943821907043,0.7140161991119385,541.2998997581401,597.1435687655119,475.0819257134155,0.2282702475786209
105103_48308,MT,512,1881310,1834,0.495198156718889,0.41327977455876524,0.07383566114551554,3.605869060434736,2.204732620651095,0.12315958172802322,1432.3702046531253,0.023431900888681412,11.69846280105412,1444.092099355068,50,0.14853444695472717,0.5198890566825867,0.41189780831336975,0.7000464797019958,537.7891625053356,580.7928803975086,457.6080254915782,0.2201806902885437
105103_48308,MT,1024,1881310,1834,0.4872881122316212,0.40443492818876464,0.1031875079121789,3.5602438179167097,2.1630648252618223,0.1452086116530511,2245.9684894178063,0.02620052406564355,19.702759164385498,2265.6974491062574,50,0.1647961139678955,0.5353888273239136,0.4386996924877167,0.6734880208969116,529.6623409523023,566.535604174931,403.4939624448683,0.21021072566509247
105103_48308,MT,2048,1881310,1834,0.6229229757428598,0.5414692386115114,-0.46554350516306275,4.099081216934057,2.9825768558643633,-0.1331142538994019,5205.671661128756,0.046538358088582754,27.168985474389046,5232.887184961233,50,0.1706065982580185,0.5513842701911926,0.45872488617897034,0.6707457900047302,513.0726981821825,546.001977363798,386.28990154470284,0.19966498017311096
105103_48308,MT,4096,1881310,1834,0.7173650232055446,0.636403105598843,-0.9436157586497493,4.680649066761634,3.6438637582400375,-0.4774500876979493,17126.921380337328,0.14968147594481707,148.55540654668584,17275.62646835996,50,0.18202710151672363,0.5552918910980225,0.5012811422348022,0.6669445037841797,469.83779758333696,502.5165152852253,385.4152830139576,0.1913457214832306
112501_46003,MT,256,1878233,4911,0.5928976308903364,0.45568126454001784,0.3483001425279463,8.077317387070217,4.544919248694808,0.24784704160339843,1114.7781427558511,0.03713036980479956,5.249312926083803,1120.0645860517398,50,0.13225321471691132,0.49106985330581665,0.4159127473831177,0.7018911838531494,544.6362398161077,583.8621547907075,475.8324389849522,0.2298816293478012
112501_46003,MT,512,1878233,4911,0.5900966974781681,0.45704060104345895,0.3544430453184997,7.952078563001758,4.530938727647708,0.2709904867895099,1373.600151067134,0.02557716891169548,10.473151869140565,1384.0988801051863,50,0.14607834815979004,0.5144704580307007,0.39958587288856506,0.7091940641403198,540.3436793560612,582.4916582599055,446.9427536362045,0.21971963346004486
112501_46003,MT,1024,1878233,4911,0.6133464189589393,0.4765473546126435,0.30257122153228067,8.265436105350343,4.697764175935245,0.21240415275972324,2136.81975417817,0.03664394002407789,18.309176726732403,2155.1655748449266,50,0.1601284146308899,0.5418797731399536,0.41983675956726074,0.6834636926651001,531.2824651903378,576.090843461354,405.6766120626704,0.2099909782409668
112501_46003,MT,2048,1878233,4911,0.600443188813243,0.451817284903095,0.3316067713602364,7.906771561175209,4.495758204942512,0.27927389168306493,5180.648823645432,0.08357305871322751,46.27267025783658,5227.005066961981,50,0.16924461722373962,0.5574954748153687,0.46318525075912476,0.6726858019828796,516.7675761491064,548.7851244790046,384.9288580131627,0.1991836130619049
112501_46003,MT,4096,1878233,4911,0.5972051713191916,0.44479723534329074,0.3387962386313802,7.651207984428369,4.41668301968868,0.3251117191345778,19325.20429508714,0.5527165019884706,74.81444522272795,19400.571456811856,50,0.1791110783815384,0.5648993849754333,0.4986557364463806,0.6813555955886841,463.0333326719578,497.12683730376966,385.68331996166546,0.19094309210777283
